term,definition
APP/PS1,"Transgenic Alzheimer's disease mouse model (APPswe/PS1deltaE9) with early amyloid deposition and gliosis, used here at 5 months of age"
RXR,"Retinoid X Receptor; ligand-activated nuclear receptor that functions as obligate heterodimer partner for more than 20 other nuclear receptors"
Bexarotene,"Synthetic RXR agonist (rexinoid) used for pharmacological activation of RXR signaling; administered at 100 mg/kg/day for 10 days"
snATAC-seq,"Single-nucleus Assay for Transposase-Accessible Chromatin with sequencing; measures chromatin accessibility at single-cell resolution"
CRE,"Cis-regulatory element; non-coding DNA region (e.g., enhancer or promoter) that regulates transcription of nearby genes"
DA peaks,"Differentially accessible chromatin peaks; genomic regions with statistically significant accessibility differences between Bexarotene and Vehicle conditions"
LXR,"Liver X Receptor (NR1H3); nuclear receptor that forms heterodimers with RXR and regulates lipid metabolism and cholesterol homeostasis"
Apoe,"Apolipoprotein E gene; RXR/LXR target gene central to brain lipid transport and a major genetic risk factor for Alzheimer's disease"
Apoc1,"Apolipoprotein C1 gene; located at the Apoe/Apoc genomic locus, involved in lipoprotein metabolism"
Fkbp5,"FK506 binding protein 5; associated with glucocorticoid receptor signaling and intracellular trafficking of steroid hormone receptors"
Nupr1,"Nuclear Protein 1; stress-responsive transcription regulator involved in cell-cycle regulation, apoptosis, autophagy, and DNA repair"
Pdgfra,"Platelet-derived growth factor receptor alpha; oligodendrocyte-specific receptor tyrosine kinase important for oligodendrocyte precursor cell development"
Mertk,"MER proto-oncogene tyrosine kinase; receptor involved in phagocytosis and cell survival signaling"
Hes1,"Hes family BHLH transcription factor 1; key regulator of cell differentiation and proliferation, particularly in neural and stem cell development"
Sik1,"Salt-inducible kinase 1; serine/threonine kinase involved in chromatin remodeling and metabolic regulation"
Spi1,"ETS-family transcription factor (also known as PU.1); microglia master regulator controlling myeloid cell differentiation and function"
Nfatc2,"Nuclear Factor of Activated T Cells 2; immune regulator that physically interacts with RXRalpha and RARalpha, enhancing retinoic acid response element binding"
Olig2,"Oligodendrocyte transcription factor 2; BHLH transcription factor essential for oligodendrocyte and motor neuron specification"
RXRalpha,"Retinoid X receptor alpha isoform; the predominant RXR isoform in brain tissue that serves as a key heterodimer partner"
