claim_id,claim_text,claim_type,importance_tier,evidence_location,dataset_link,supporting_quote,key_terms
1,"Age-related changes in bulk gene expression across tissues are attributable to both changes in the numbers of cells of each type in a population and changes in per-cell gene expression levels.",comparative or integrative finding,1,"Main text page 590; Extended Data Fig. 5a-b",GEO: GSE132042: direct,"we observed that-in many cases-changes in gene expression are due to both changes in the numbers of cells in a population and changes in the gene expression levels in each cell",
2,"The proportion of cells expressing the senescence marker Cdkn2a more than doubled in older mice compared with younger mice, confirmed by both FACS and droplet single-cell sequencing platforms.",direct empirical observation,1,"Main text page 590-591; Fig. 2a-b",GEO: GSE132042: direct,"The proportion of cells expressing Cdkn2a more than doubled in older mice compared with younger mice according to analysis by both FACS (Fig. 2a) and droplet (Fig. 2b) methods",Cdkn2a: cyclin-dependent kinase inhibitor 2A gene encoding the senescence marker protein p16
3,"Among previously characterized senescence markers, Cdkn2a shows the highest correlation between ageing and the fraction of cells in which it is expressed.",statistical/quantitative finding,1,"Main text page 591; Supplementary Table 4",GEO: GSE132042: direct,"Cdkn2a has the highest correlation between ageing and the fraction of cells in which it is expressed",Cdkn2a: cyclin-dependent kinase inhibitor 2A gene encoding the senescence marker protein p16
4,"The bladder undergoes pronounced age-related compositional changes: the mesenchymal compartment decreases by approximately a factor of three over the mouse lifespan while the urothelial compartment increases by a similar amount.",direct empirical observation,1,"Main text page 591; Fig. 2e",GEO: GSE132042: direct,"The bladder shows pronounced changes in cell-type composition with age (Fig. 2e): whereas the mesenchymal compartment of this tissue decreases by a factor of three over the lifetime of the mouse (Fig. 2e, left), the urothelial compartment increases by a similar amount (Fig. 2e, right).",
5,"The relative abundance of mesangial cells, capillary endothelial cells, loop of Henle ascending limb epithelial cells, and loop of Henle thick ascending limb epithelial cells decreases with age in the kidney.",direct empirical observation,1,"Main text page 591-592; Fig. 2g",GEO: GSE132042: direct,"Age-related changes in the kidney include a decrease in the relative abundance of mesangial cells, capillary endothelial cells, loop of Henle ascending limb epithelial cells and loop of Henle thick ascending limb epithelial cells (Fig. 2g).",Mesangial cells: cells in the kidney glomerulus that provide structural support and regulate filtration
6,"The proportion of T cells in the spleen decreases with age while the relative amount of plasma cells increases.",direct empirical observation,1,"Main text page 592; Fig. 2i-j",GEO: GSE132042: direct,"In the spleen, the proportion of T cells decreases with age while the relative amount of plasma cells increases (Fig. 2i).",
7,"The pro-inflammatory cytokine gene Il1b shows markedly increased expression with age in the liver, with the number of cells co-expressing Il1b and the Kupffer cell marker Clec4f increasing with age.",direct empirical observation,1,"Main text page 593; Extended Data Fig. 6f-j",GEO: GSE132042: direct,"when co-staining with Il1b, we found that the number of cells expressing both Clec4f and Il1b increased with age (Extended Data Fig. 6h-j).","Il1b: interleukin-1 beta gene encoding a pro-inflammatory cytokine; Clec4f: C-type lectin domain family 4 member F - a specific marker for liver Kupffer cells; Kupffer cells: liver-resident macrophages"
8,"The number of somatic mutations increases with age across all organs examined, with tongue and bladder being the most affected tissues.",statistical/quantitative finding,1,"Main text page 593; Fig. 3a-f; Extended Data Fig. 7",GEO: GSE132042: direct,"we focused on genes that were expressed in at least 75% of cells for each age group within a particular tissue, and observed an age-related increase in the number of mutations across all of the organs we analysed (Fig. 3, Extended Data Fig. 7a, c, e)-tongue and bladder were the most affected",
9,"The proportion of B cells belonging to a clonal family increases progressively with age, from ~9% at 3 months to ~20% at 18 months and ~38% at 24 months.",direct empirical observation,1,"Main text page 593; Fig. 4a; Extended Data Fig. 9a",GEO: GSE132042: direct,"whereas most of the cells at 3 months were not part of a clone (9% were part of a clonal family), the number of B cells belonging to a clonotype doubled at 18 months (20%) when compared to 3 months, and doubled again from 18 months to 24 months (around 38%).",Clonal family: group of B cells sharing similar receptor sequences indicating common clonal origin
10,"The proportion of T cells that are part of a clone increases from ~3% at 3 months to ~23% at 18 months and ~20% at 24 months, indicating increased clonality in the T cell repertoire with age.",direct empirical observation,1,"Main text page 593; Fig. 4b; Extended Data Fig. 9b",GEO: GSE132042: direct,"only around 3% (55 out of 1,895) of the cells at 3 months were part of a clone. At 18 months and 24 months, this value increased to around 23% (479 out of 2,056) and around 20% (348 out of 1,780) of the cells, respectively",Clonotype: group of T cells sharing identical or highly similar T cell receptor sequences
11,"Among all cell types and tissues examined, immune cells from the brain (myeloid microglial cells) and the kidney (macrophages) show significant age-related changes in transcriptomic diversity.",computational/modeling-derived conclusion,1,"Main text page 593-594; Fig. 4c; Extended Data Figs. 10-11a-b",GEO: GSE132042: direct,"We observed significant changes in diversity for cells of the immune system that originate from the brain and the kidney (Fig. 4c, Extended Data Fig. 11a, b).",
12,"Young microglia transition through intermediate transcriptomic states before acquiring the gene expression signature characteristic of old microglia.",computational/modeling-derived conclusion,1,"Main text page 594; Fig. 4d; Extended Data Fig. 11e",GEO: GSE132042: direct,"Trajectory analysis suggests that young microglia go through an intermediate state, represented by the clusters mostly occupied by 18-month microglial cells, before acquiring the signature of old microglia (Extended Data Fig. 11e).",
13,"Old (18- and 24-month) microglia upregulate MHC class I genes (H2-D1, H2-K1, B2m) and genes associated with degenerative disease (such as Fth1) compared to young (3-month) microglia.",threshold-based or cutoff-dependent result,1,"Main text page 594; Fig. 4d-e; Supplementary Table 10",GEO: GSE132042: direct,"These cells upregulate major histocompatibility complex (MHC) class I genes (H2-D1, H2-K1 and B2m), along with genes associated with degenerative disease (for example, Fth1).",MHC class I: major histocompatibility complex class I molecules involved in antigen presentation; Fth1: ferritin heavy chain 1 gene associated with iron storage and neurodegeneration
14,"Kidney macrophages segregate into two transcriptomically distinct populations with age-dependent composition: one enriched for anti-inflammatory genes and predominantly composed of young cells, and another enriched for pro-inflammatory genes and predominantly composed of old cells.",comparative or integrative finding,1,"Main text page 594; Fig. 4f; Extended Data Fig. 11f",GEO: GSE132042: direct,"Regarding kidney macrophages, we found two clusters for which the composition changed markedly with age. Cluster 10 is primarily composed of cells from 1-month-old and 3-month-old mice, whereas cluster 13 is mostly composed of cells from 18-month-old, 21-month-old, 24-month-old and 30-month-old mice (Fig. 4f).",
15,"The expression level of Cdkn2a (p16) in cells that express it approximately doubled with age.",direct empirical observation,2,"Main text page 590-591; Fig. 2c-d",GEO: GSE132042: direct,"this was accompanied by a twofold increase in the expression levels of p16 in cells in which it was expressed (Fig. 2c, d).",p16: protein product of Cdkn2a; a cyclin-dependent kinase inhibitor and senescence marker
16,"In 30-month-old mice, the fraction of cells expressing Cdkn2a (p16) was smaller than in 24-month-old mice.",direct empirical observation,2,"Main text page 591; Fig. 2b",GEO: GSE132042: direct,"Notably, in 30-month-old mice the fraction of cells that expressed p16 was smaller than in 24-month-old mice, perhaps because long-living animals have a slower rate of senescence.",
17,"Among senescence-associated genes, E2f2, Lmnb1, Tnf, and Itgax show positive correlation between ageing and the fraction of cells expressing them.",statistical/quantitative finding,2,"Main text page 591; Supplementary Table 4",GEO: GSE132042: direct,"other genes with positive correlation include E2f2, Lmnb1, Tnf and Itgax",
18,"The fraction of cells expressing Sirt family genes (Sirt3, Sirt4, and Sirt5) decreases with age.",direct empirical observation,2,"Main text page 591; Supplementary Table 4",GEO: GSE132042: direct,"For some genes, including members of the Sirt family (Sirt3, Sirt4 and Sirt5), the fraction of cells in which they were expressed was found to decrease with age",Sirt genes: sirtuin family genes encoding NAD-dependent deacetylases implicated in delaying cellular senescence
19,"Differential gene expression in the bladder shows stromal-associated genes (such as Col1a1, Col1a2, Col3a1, and Dcn) downregulated with age while epithelial-associated genes (such as Krt15, Krt18, and Sfn) are upregulated.",threshold-based or cutoff-dependent result,2,"Main text page 591; Fig. 2f",GEO: GSE132042: direct,"we found that stromal-associated genes (Col1a1, Col1a2, Col3a1 and Dcn) are downregulated while epithelial-associated genes (Krt15, Krt18 and Sfn) are upregulated",
20,"The endothelial population in the bladder declines with age while the leukocyte population increases, accompanied by tissue-wide overexpression of immune-related genes including Lgals3, Igfbp2, and Ly6d.",comparative or integrative finding,2,"Main text page 591; Fig. 2f; Supplementary Table 6",GEO: GSE132042: direct,"The increase in the leukocyte population could indicate an inflammatory tissue microenvironment, a common hallmark of ageing that is consistent with literature on overactive bladders and is supported by a significant overexpression of Lgals3, Igfbp2 and Ly6d across the tissue",
21,"Old bladder leukocytes show increased expression of pro-inflammatory markers (including Cd14, Lgals3, and Tnfrsf12a) and decreased expression of anti-inflammatory markers (including Cd9 and Cd81).",threshold-based or cutoff-dependent result,2,"Main text page 591; Supplementary Table 6",GEO: GSE132042: direct,"we observed that old leukocytes showed increased expression of pro-inflammatory markers-such as Cd14, Lgals3 and Tnfrsf12a-and decreased expression of anti-inflammatory markers such as Cd9 and Cd81",
22,"Tissue-wide expression of Egf and Atp1a1 in the kidney decreases with age, suggesting impaired glomerular filtration.",mechanistic interpretation,2,"Main text page 591-592; Fig. 2h; Supplementary Table 6",GEO: GSE132042: direct,"together with a tissue-wide reduction of Egf and Atp1a1 expression (Fig. 2h, Supplementary Table 6)-suggest an impaired glomerular filtration rate","Egf: epidermal growth factor gene; Atp1a1: gene encoding the alpha-1 subunit of the sodium/potassium ATPase"
