claim_id,claim_text,claim_type,importance_tier,evidence_location,dataset_link,supporting_quote,key_terms
1,"The proportion of cells expressing Cdkn2a more than doubled in older mice compared with younger mice in both FACS and droplet datasets.",statistical/quantitative finding,1,"Figure 2a-d; Main text - paragraph 3 (page 590-591)","GEO: GSE132042: direct","The proportion of cells expressing Cdkn2a more than doubled in older mice compared with younger mice according to analysis by both FACS (Fig. 2a) and droplet (Fig. 2b) methods; this was accompanied by a twofold increase in the expression levels of p16 in cells in which it was expressed (Fig. 2c, d).",Cdkn2a: gene encoding the p16 tumor suppressor protein; a widely used marker of cellular senescence
2,"The mean expression level of Cdkn2a approximately doubled in cells that express it when comparing old to young mice in both FACS and droplet data.",statistical/quantitative finding,1,"Figure 2c-d; Main text - paragraph 3 (page 590-591)","GEO: GSE132042: direct","this was accompanied by a twofold increase in the expression levels of p16 in cells in which it was expressed (Fig. 2c, d).",
3,"In 30-month-old mice the fraction of cells expressing Cdkn2a was smaller than in 24-month-old mice.",direct empirical observation,2,"Figure 2b; Main text - paragraph 3 (page 590-591)","GEO: GSE132042: direct","Notably, in 30-month-old mice the fraction of cells that expressed p16 was smaller than in 24-month-old mice, perhaps because long-living animals have a slower rate of senescence.",
4,"Among previously characterized senescence markers, Cdkn2a showed the highest correlation between ageing and the fraction of cells in which it is expressed.",statistical/quantitative finding,1,"Main text - paragraph 3 (page 591); Supplementary Table 4","GEO: GSE132042: direct","Cdkn2a has the highest correlation between ageing and the fraction of cells in which it is expressed; other genes with positive correlation include E2f2, Lmnb1, Tnf and Itgax.",
5,"The fraction of cells expressing members of the Sirt family (Sirt3, Sirt4, Sirt5) decreased with age.",direct empirical observation,2,"Main text - paragraph 3 (page 591); Supplementary Table 4","GEO: GSE132042: direct","For some genes, including members of the Sirt family (Sirt3, Sirt4 and Sirt5), the fraction of cells in which they were expressed was found to decrease with age",Sirt: sirtuin gene family
6,"In the bladder, the mesenchymal cell compartment decreased by approximately threefold over the mouse lifespan while the urothelial compartment increased by a similar amount.",statistical/quantitative finding,1,"Figure 2e; Main text - bladder composition (page 591)","GEO: GSE132042: direct","whereas the mesenchymal compartment of this tissue decreases by a factor of three over the lifetime of the mouse (Fig. 2e, left), the urothelial compartment increases by a similar amount (Fig. 2e, right).",
7,"Differential gene expression analysis of the bladder showed downregulation of stromal-associated genes (Col1a1, Col1a2, Col3a1, Dcn) and upregulation of epithelial-associated genes (Krt15, Krt18, Sfn) with age.",threshold-based or cutoff-dependent result,1,"Figure 2f; Main text - bladder composition (page 591); Supplementary Table 6","GEO: GSE132042: direct","Using differential gene expression analysis to assess overall changes in tissues with age, we found that stromal-associated genes (Col1a1, Col1a2, Col3a1 and Dcn) are downregulated while epithelial-associated genes (Krt15, Krt18 and Sfn) are upregulated, supporting the compositional observations",
8,"The bladder endothelial cell population declined with age, and vasculature-associated genes Htra1 and Fos were downregulated.",comparative or integrative finding,2,"Figure 2e-f; Main text - bladder composition (page 591); Supplementary Table 6","GEO: GSE132042: direct","The decline of the endothelial population suggests that bladder ageing in mice might be associated with lower organ vascularization, which is consistent with recent findings and with the observed downregulation of vasculature-associated genes Htra1 and Fos",
9,"The bladder leukocyte population increased with age, accompanied by overexpression of Lgals3, Igfbp2, and Ly6d across the tissue.",comparative or integrative finding,2,"Figure 2e-f; Main text - bladder composition (page 591); Supplementary Table 6","GEO: GSE132042: direct","The increase in the leukocyte population could indicate an inflammatory tissue microenvironment, a common hallmark of ageing that is consistent with literature on overactive bladders and is supported by a significant overexpression of Lgals3, Igfbp2 and Ly6d across the tissue",
10,"Old bladder leukocytes showed increased expression of pro-inflammatory markers (Cd14, Lgals3, Tnfrsf12a) and decreased expression of anti-inflammatory markers (Cd9, Cd81) compared with young leukocytes.",direct empirical observation,2,"Main text - bladder composition (page 591); Supplementary Table 6","GEO: GSE132042: direct","we observed that old leukocytes show increased expression of pro-inflammatory markers-such as Cd14, Lgals3 and Tnfrsf12a-and decreased expression of anti-inflammatory markers such as Cd9 and Cd81",
