location,content_summary,relevance_signal,confidence,dataset_source
"Figure 1a","Bar plot showing the number of sequenced cells per organ for FACS (23 organs) and droplet (16 organs) across 6 age groups from 19 male and 11 female mice.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare; main_scrna_aws
"Figure 1b","Annotation workflow schematic showing how the Tabula Muris 3-month reference was used for semi-automated cell-type classification of the full dataset.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Figure 1c-d","UMAP plots of all 356213 cells coloured by organ/Louvain cluster and by age after bbknn batch correction.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Figure 1e-f","B cells and endothelial cells independently annotated per organ cluster together by unbiased Louvain clustering irrespective of tissue of origin or processing method.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Figure 2a-d","Fraction of cells expressing Cdkn2a and mean expression of Cdkn2a in expressing cells across age groups for both FACS and droplet methods.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Figure 2e-f","Relative cell-type composition changes in bladder with age (mesenchymal vs urothelial) and top 20 up/downregulated genes in bladder using MAST differential expression.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Figure 2g-h","Relative abundance changes of kidney cell types (capillary endothelial, mesangial, loop of Henle epithelial) with age and top 20 up/downregulated genes in kidney.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Figure 2i-j","Relative abundance changes of spleen T cells and plasma cells with age and top 20 up/downregulated genes in spleen.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Figure 3a-f","Distribution of pairwise differences in mean somatic mutation counts between age groups across all tissues and five functional cell-type groups using FACS full-length transcript data and ERCC spike-in controls.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_aws
"Figure 4a","B cell receptor assembly and clonotype analysis for 6050 B cells across 3 FACS time points showing increasing clonality with age.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Figure 4b","T cell receptor assembly and clonotype analysis for 6000 T cells across 3 FACS time points showing increasing clonality with age.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Figure 4c","Diversity scores for brain myeloid microglial cells (FACS) and kidney macrophages (droplet) showing significant changes with age.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Figure 4d","UMAP of brain myeloid microglial cell Leiden clusters coloured by age showing age-dependent cluster composition changes.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Figure 4e","UMAP of brain myeloid microglial cells scored using the Alzheimer's disease microglia signature showing overlap with ageing signature.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Figure 4f","UMAP of kidney macrophage Leiden clusters coloured by age group showing young (clusters 10) vs old (cluster 13) macrophage states.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Main text - paragraph 1 (page 590)","Description of single-cell RNA sequencing of more than 350000 cells from male and female C57BL/6JN mice across 6 age groups and 23 tissues using droplet and FACS methods.",methodological match; explicit reference,High,main_scrna_geo; main_scrna_figshare; main_scrna_aws
"Main text - paragraph 2 (page 590)","Description of semi-automated cell-type annotation using Tabula Muris as reference; 110824 FACS and 245389 droplet cells passed filtering; bbknn batch correction and Louvain clustering.",methodological match,High,main_scrna_geo; main_scrna_figshare
"Main text - paragraph 3 (page 590-591)","Global analysis of gene expression changes with age; comparison of single-cell and bulk RNA-seq; analysis of Cdkn2a expression fraction and level changes with age; senescence marker analysis.",methodological match,High,main_scrna_geo; main_scrna_figshare
"Main text - bladder composition (page 591)","Changes in bladder cell-type composition with age including mesenchymal decline and urothelial increase; differential gene expression supporting compositional observations.",methodological match,High,main_scrna_geo; main_scrna_figshare
"Main text - kidney composition (page 591-592)","Age-related decrease in mesangial cells, capillary endothelial cells, and loop of Henle epithelial cells; Atp1a1 and Umod expression changes.",methodological match,High,main_scrna_geo; main_scrna_figshare
"Main text - spleen composition (page 592)","Decrease in T cell proportion and increase in plasma cells with age in spleen; upregulation of Cd79a and Jchain and downregulation of Cd3d.",methodological match,High,main_scrna_geo; main_scrna_figshare
"Main text - mammary gland (page 592-593)","Decline of T cell population in mammary gland with age; upregulation of AP1 transcription factors (Junb, Jund, Fos).",methodological match,High,main_scrna_geo; main_scrna_figshare
"Main text - liver composition (page 593)","Age-related decrease in hepatocytes; increased immune signature; Il1b expression in Kupffer cells; Mrc1 expression in LSECs; in situ RNA validation.",methodological match,High,main_scrna_geo; main_scrna_figshare
"Main text - genomic instability / mutations (page 593)","GATK-based somatic mutation calling on FACS full-length transcript data showing age-related increase in mutations across organs; ERCC spike-in controls used for validation.",methodological match,High,main_scrna_geo; main_scrna_aws
"Main text - immune repertoire (page 593-594)","B cell receptor and T cell receptor reconstruction from FACS data using singlecell-ige and TraCeR; increasing clonality of B and T cell repertoires with age.",methodological match,High,main_scrna_geo; main_scrna_figshare
"Main text - diversity score (page 593-594)","Shannon entropy-based diversity score analysis identifying brain myeloid microglia and kidney macrophages as cell types with significant age-related diversity changes.",methodological match,High,main_scrna_geo; main_scrna_figshare
"Main text - brain microglia (page 594)","Age-dependent cluster composition changes in brain microglia; upregulation of MHC class I and interferon-responsive genes; overlap with Alzheimer's disease microglial signature.",methodological match,High,main_scrna_geo; main_scrna_figshare
"Main text - kidney macrophages (page 594)","Age-dependent shift from M2-like (cluster 10) to M1-like proinflammatory (cluster 13) macrophage states in kidney.",methodological match,High,main_scrna_geo; main_scrna_figshare
"Extended Data Figure 1a-f","UMAP visualizations of all FACS cells (110824) and all droplet cells (245389) coloured by tissue, age, and organ with Louvain cluster overlays.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Extended Data Figure 1g-l","B cells and endothelial cells clustering together across organs and technologies in FACS, droplet, and combined datasets.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Extended Data Figure 2a-b","Pie charts with summary statistics for FACS and droplet datasets showing total cells sequenced and cells passing QC.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Extended Data Figure 2c-d","Box plots of number of genes detected per cell and number of reads per cell for each organ and age in FACS.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
"Extended Data Figure 3a-b","Box plots of number of genes detected per cell and number of UMIs per cell for each organ and age in droplet.",figure/table source; methodological match,High,main_scrna_geo; main_scrna_figshare
